ID, VALUE_EN, VALUE_RU, VALUE_UK
"101142","","","31Б"
"101143","","","32"
"101144","","","34"
"101145","","","35"
"101146","","","36"
"101147","","","38"
"101148","","","39"
"101149","","","40"
"101150","","","41"
"101151","","","42А"
"101152","","","44"
"101153","","","2/18"
"101154","","","Армійська вул."
"101155","","","3"
"101156","","","4"
"101157","","","5"
"101158","","","5А"
"101159","","","6"
"101160","","","7"
"101161","","","8"
"101162","","","9"
"101163","","","10"
"101164","","","11"
"101165","","","12"
"101166","","","13"
"101167","","","14"
"101168","","","15"
"101169","","","18"
"101170","","","20"
"101171","","","22"
"101172","","","24"
"101173","","","26"
"101174","","","1/14"
"101175","","","Арсенальна вул."
"101176","","","1Б"
"101177","","","3"
"101178","","","5"
"101179","","","6"
"101180","","","9-11"
"101181","","","15"
"101182","","","17"
"101183","","","18"
"101184","","","20"
"101185","","","1"
"101186","","","Арсенальна пл."
"101187","","","1Б"
"101188","","","П1"
"101189","","","5"
"101190","","","Арсенальний пров."
"101191","","","3"
"101192","","","Артезіанський пров."
"101193","","","3А"
"101194","","","5"
"101195","","","5А"
"101196","","","6"
"101197","","","6А"
"101198","","","7"
"101199","","","7А"
"101200","","","8"
"101201","","","9"
"101202","","","11"
"101203","","","13"
"101204","","","19"
"101205","","","Артема вул. (Коцюбинське)"
"101206","","","21"
"101207","","","23"
"101208","","","25"
"101209","","","27"
"101210","","","29"
"101211","","","31"
"101212","","","33"
"101213","","","1-5"
"101214","","","Артема вул. / Січових Стрільців вул."
"101215","","","1А"
"101216","","","5"
"101217","","","5А"
"101218","","","5Б"
"101219","","","5В"
"101220","","","5Г"
"101221","","","7"
"101222","","","7/9"
"101223","","","9В"
"101224","","","10"
"101225","","","10Б"
"101226","","","11"
"101227","","","11А"
"101228","","","12"
"101229","","","12А"
"101230","","","13"
"101231","","","14"
"101232","","","14А"
"101233","","","15"
"101234","","","17"
"101235","","","18"
"101236","","","20"
"101237","","","21"
"101238","","","22"
"101239","","","23"
"101240","","","24"
"101241","","","24А"
"101242","","","24Б"
"101243","","","25"
"101244","","","25А"
"101245","","","26"
"101246","","","26А"
"101247","","","26Б"
"101248","","","26В"
"101249","","","27"
"101250","","","28"
"101251","","","28А"
"101252","","","30"
"101253","","","30А"
"101254","","","30Б"
"101255","","","31"
"101256","","","32-38"
"101257","","","33А"
"101258","","","33Б"
"101259","","","35"
"101260","","","37"
"101261","","","37-41"
"101262","","","37/41"
"101263","","","40"
"101264","","","40А"
"101265","","","42"
"101266","","","43"
"101267","","","44"
"101268","","","45"
"101269","","","45А"
"101270","","","46"
"101271","","","46А"
"101272","","","47"
"101273","","","47А"
"101274","","","48"
"101275","","","49"
"101276","","","50"
"101277","","","51/50"
"101278","","","52"
"101279","","","52А"
"101280","","","52Д"
"101281","","","53"
"101282","","","54"
"101283","","","55"
"101284","","","55А"
"101285","","","55Б"
"101286","","","55В"
"101287","","","57"
"101288","","","58/2"
"101289","","","58/2А"
"101290","","","58/2Б"
"101291","","","58/2В"
"101292","","","58/2Г"
"101293","","","58/2Д"
"101294","","","59"
"101295","","","59/65"
"101296","","","59А"
"101297","","","60"
"101298","","","66"
"101299","","","68"
"101300","","","70"
"101301","","","72"
"101302","","","72А"
"101303","","","73"
"101304","","","74"
"101305","","","75"
"101306","","","76"
"101307","","","77"
"101308","","","79"
"101309","","","81"
"101310","","","82"
"101311","","","84"
"101312","","","87"
"101313","","","89"
"101314","","","91"
"101315","","","93"
"101316","","","103"
"101317","","","103А"
"101318","","","Артема пров. (Коцюбинське)"
"101319","","","1"
"101320","","","Артилерійський пров."
"101321","","","1А"
"101322","","","3"
"101323","","","5"
"101324","","","5А"
"101325","","","5Б"
"101326","","","5В"
"101327","","","7/9"
"101328","","","7А"
"101329","","","9"
"101330","","","9А"
"101331","","","11"
"101332","","","13"
"101333","","","4"
"101334","","","Архітекторська вул."
"101335","","","5"
"101336","","","7"
"101337","","","8"
"101338","","","9"
"101339","","","10"
"101340","","","11"
"101341","","","11А"
"101342","","","11Б"
"101343","","","12А"
"101344","","","13"
"101345","","","17/26"
"101346","","","3А"
"101347","","","Аскольдів пров."
"101348","","","5"
"101349","","","5А"
"101350","","","3"
"101351","","","Астраханська вул."
"101352","","","5"
"101353","","","19"
"101354","","","21"
"101355","","","23"
"101356","","","25"
"101357","","","2/4"
"101358","","","Астраханський пров."
"101359","","","1"
"101360","","","Астрономічна вул."
"101361","","","2"
"101362","","","3"
"101363","","","4"
"101364","","","5"
"101365","","","6"
"101366","","","8"
"101367","","","9"
"101368","","","10"
"101369","","","11"
"101370","","","12"
"101371","","","13"
"101372","","","14"
"101373","","","15"
"101374","","","16"
"101375","","","17"
"101376","","","18"
"101377","","","19"
"101378","","","20"
"101379","","","2А"
"101380","","","Ахматової Анни вул."
"101381","","","2Б"
"101382","","","3"
"101383","","","3А"
"101384","","","4"
"101385","","","5"
"101386","","","5А"
"101387","","","5Б"
"101388","","","6"
"101389","","","7/15"
"101390","","","8"
"101391","","","9/18"
"101392","","","9/18А"
"101393","","","11"
"101394","","","11А"
"101395","","","13"
"101396","","","13А"
"101397","","","13Б"
"101398","","","13В"
"101399","","","13Г"
"101400","","","13Д"
"101401","","","14"
"101402","","","14А"
"101403","","","14Б"
"101404","","","14В"
"101405","","","15"
"101406","","","16А"
"101407","","","16Б"
"101408","","","16В"
"101409","","","16Г"
"101410","","","17"
"101411","","","18"
"101412","","","19"
"101413","","","21"
"101414","","","23"
"101415","","","25"
"101416","","","31"
"101417","","","33"
"101418","","","35"
"101419","","","35А"
"101420","","","35Б"
"101421","","","37"
"101422","","","39А"
"101423","","","39Б"
"101424","","","41"
"101425","","","43"
"101426","","","44"
"101427","","","45"
"101428","","","46"
"101429","","","46А"
"101430","","","47"
"101431","","","48"
"101432","","","48А"
"101433","","","50"
"101434","","","1"
"101435","","","Бєлінського Чеслава пров."
"101436","","","3"
"101437","","","5"
"101438","","","5А"
"101439","","","6"
"101440","","","8"
"101441","","","10"
"101442","","","7"
"101443","","","Бігова вул."
"101444","","","4"
"101445","","","Білгородська вул."
"101446","","","6"
"101447","","","8"
"101448","","","9"
"101449","","","10"
"101450","","","12"
"101451","","","14"
"101452","","","134"
"101453","","","2А"
"101454","","","Білецького Академіка вул."
"101455","","","3"
"101456","","","4"
"101457","","","5"
"101458","","","5А"
"101459","","","5Б"
"101460","","","5В"
"101461","","","6"
"101462","","","7"
"101463","","","8"
"101464","","","9"
"101465","","","9А"
"101466","","","9Б"
"101467","","","9В"
"101468","","","10"
"101469","","","11"
"101470","","","12"
"101471","","","12А"
"101472","","","14"
"101473","","","16"
"101474","","","16А"
"101475","","","18"
"101476","","","20"
"101477","","","27"
"101478","","","30"
"101479","","","34"
"101480","","","38"
"101481","","","7Б"
"101482","","","Білицька вул."
"101483","","","8"
"101484","","","8А"
"101485","","","8Б"
