ID, VALUE_EN, VALUE_RU, VALUE_UK
"200585","","","47"
"200586","","","48"
"200587","","","50"
"200588","","","54"
"200589","","","54/19"
"200590","","","61"
"200591","","","63"
"200592","","","65А"
"200593","","","67"
"200594","","","68"
"200595","","","69"
"200596","","","71"
"200597","","","71А"
"200598","","","72"
"200599","","","72А"
"200600","","","73"
"200601","","","74"
"200602","","","76"
"200603","","","77"
"200604","","","78"
"200605","","","78Г"
"200606","","","79"
"200607","","","81"
"200608","","","83"
"200609","","","85"
"200610","","","87"
"200611","","","87А"
"200612","","","89"
"200613","","","89/91"
"200614","","","89А"
"200615","","","93"
"200616","","","97/5"
"200617","","","97А"
"200618","","","99/4"
"200619","","","99/4А"
"200620","","","5"
"200621","Avtoparkovaya","Автопарковая","Автопаркова вул."
"200622","","","7"
"200623","","","7А"
"200624","","","7Б"
"200625","","","1"
"200626","Avtotransportnaya","Автотранспортная","Автотранспортна вул."
"200627","","","1У"
"200628","","","4"
"200629","","","6"
"200630","","","2/49"
"200631","Agitatorskaya","Агитаторская","Агітаторська вул."
"200632","","","4"
"200633","","","2"
"200634","Agragatnaya","Агрегатная","Агрегатна вул."
"200635","","","9"
"200636","","","11"
"200637","","","Аеродромна вул."
"200638","","","12"
"200639","","","12А"
"200640","","","13"
"200641","","","14"
"200642","","","2"
"200643","","","Азербайджанська вул."
"200644","","","4"
"200645","","","6"
"200646","","","8"
"200647","","","8А"
"200648","","","8Б"
"200649","","","16/1"
"200650","","","16/2"
"200651","","","16/3"
"200652","","","16/4"
"200653","","","20"
"200654","","","23"
"200655","","","25"
"200656","","","28"
"200657","","","28А"
"200658","","","28Б"
"200659","","","30"
"200660","","","30А"
"200661","","","32"
"200662","","","1/32"
"200663","","","Азовська вул."
"200664","","","2/30"
"200665","","","3"
"200666","","","5"
"200667","","","6"
"200668","","","7"
"200669","","","8"
"200670","","","9"
"200671","","","10"
"200672","","","11"
"200673","","","12"
"200674","","","13"
"200675","","","14"
"200676","","","16"
"200677","","","18"
"200678","","","20"
"200679","","","22"
"200680","","","5"
"200681","","","Айвазовського пров."
"200682","","","1/18"
"200683","","","Алексухіна Василя вул."
"200684","","","2/22"
"200685","","","3"
"200686","","","4"
"200687","","","5"
"200688","","","6"
"200689","","","7"
"200690","","","8"
"200691","","","9"
"200692","","","10"
"200693","","","11"
"200694","","","12"
"200695","","","13"
"200696","","","14/17"
"200697","","","15"
"200698","","","16"
"200699","","","17"
"200700","","","18"
"200701","","","19"
"200702","","","20"
"200703","","","21"
"200704","","","22"
"200705","","","23"
"200706","","","24"
"200707","","","25"
"200708","","","27"
"200709","","","29/24"
"200710","","","31"
"200711","","","33"
"200712","","","35"
"200713","","","35А"
"200714","","","37"
"200715","","","39"
"200716","","","41/19"
"200717","","","43/30"
"200718","","","45"
"200719","","","47"
"200720","","","49"
"200721","","","51"
"200722","","","2"
"200723","","","Алма-Атинська вул."
"200724","","","2/1"
"200725","","","4"
"200726","","","4А"
"200727","","","6"
"200728","","","7"
"200729","","","8"
"200730","","","9"
"200731","","","10"
"200732","","","11"
"200733","","","12"
"200734","","","12А"
"200735","","","13"
"200736","","","14"
"200737","","","14А"
"200738","","","17"
"200739","","","18"
"200740","","","19"
"200741","","","20"
"200742","","","21"
"200743","","","22"
"200744","","","22А"
"200745","","","23"
"200746","","","24"
"200747","","","25"
"200748","","","26"
"200749","","","27"
"200750","","","28"
"200751","","","29"
"200752","","","30"
"200753","","","31"
"200754","","","32"
"200755","","","33"
"200756","","","34"
"200757","","","35"
"200758","","","35А"
"200759","","","36"
"200760","","","36А"
"200761","","","37"
"200762","","","38"
"200763","","","38А"
"200764","","","39"
"200765","","","39А"
"200766","","","39Б"
"200767","","","39В"
"200768","","","39Г"
"200769","","","39Д"
"200770","","","39Е"
"200771","","","40"
"200772","","","41А"
"200773","","","41Б"
"200774","","","42"
"200775","","","43/57"
"200776","","","44"
"200777","","","46"
"200778","","","48"
"200779","","","50"
"200780","","","52"
"200781","","","52А"
"200782","","","54"
"200783","","","55"
"200784","","","55А"
"200785","","","56"
"200786","","","57"
"200787","","","58"
"200788","","","59"
"200789","","","60"
"200790","","","61"
"200791","","","61А"
"200792","","","62"
"200793","","","63"
"200794","","","64"
"200795","","","65"
"200796","","","66"
"200797","","","66А"
"200798","","","67"
"200799","","","68"
"200800","","","68А"
"200801","","","69"
"200802","","","70"
"200803","","","71"
"200804","","","72"
"200805","","","73"
"200806","","","74"
"200807","","","75"
"200808","","","77"
"200809","","","79"
"200810","","","81"
"200811","","","83"
"200812","","","85"
"200813","","","87/1"
"200814","","","89"
"200815","","","89А"
"200816","","","89Б"
"200817","","","91"
"200818","","","93"
"200819","","","95"
"200820","","","97/1"
"200821","","","99/2"
"200822","","","101"
"200823","","","101А"
"200824","","","101Б"
"200825","","","103/1"
"200826","","","107/2"
"200827","","","109"
"200828","","","109А"
"200829","","","111"
"200830","","","111А"
"200831","","","113"
"200832","","","115"
"200833","","","БМ1"
"200834","","","3"
"200835","","","Аляб'Єва вул."
"200836","","","15"
"200837","","","1"
"200838","","","Амосова Миколи вул."
"200839","","","2"
"200840","","","4"
"200841","","","5"
"200842","","","6"
"200843","","","7"
"200844","","","7А"
"200845","","","8"
"200846","","","9"
"200847","","","10"
"200848","","","11"
"200849","","","13"
"200850","","","2"
"200851","","","Амурська вул."
"200852","","","4"
"200853","","","6"
"200854","","","8"
"200855","","","2/34"
"200856","","","Амурська пл."
"200857","","","1/1"
"200858","","","Андріївська вул."
"200859","","","2"
"200860","","","2/12"
"200861","","","4"
"200862","","","6/14"
"200863","","","7"
"200864","","","8/12"
"200865","","","9"
"200866","","","9А"
"200867","","","12"
"200868","","","15"
"200869","","","17"
"200870","","","19"
"200871","","","1"
"200872","","","Андріївський узвіз"
"200873","","","2А"
"200874","","","2Б"
"200875","","","2В"
"200876","","","2Г"
"200877","","","2Д"
"200878","","","3"
"200879","","","3А"
"200880","","","4"
"200881","","","5/31"
