ID, VALUE_EN, VALUE_RU, VALUE_UK
"100638","5","","5"
"100639","Abrikosova vul.","","Абрикосова вул."
"100640","19","","19"
"100641","Aviatoriv vul. (Petr.Borshagivka)","","Авіаторів вул. (Петр.Борщагівка)"
"100642","1","","1"
"100643","Avdeenka Generala vul.","","Авдєєнка Генерала вул."
"100644","2","","2"
"100645","3","","3"
"100646","4","","4"
"100647","6","","6"
"100648","8","","8"
"100649","10","","10"
"100650","12","","12"
"100651","Avtogennii prov.","","Автогенний пров."
"100652","2","","2"
"100653","Avtozavods'ka vul.","","Автозаводська вул."
"100654","2A","","2А"
"100655","4","","4"
"100656","5","","5"
"100657","5A","","5А"
"100658","7","","7"
"100659","7A","","7А"
"100660","7B","","7Б"
"100661","9A","","9А"
"100662","11","","11"
"100663","13A","","13А"
"100664","15A","","15А"
"100665","17","","17"
"100666","17A","","17А"
"100667","18","","18"
"100668","18A","","18А"
"100669","19","","19"
"100670","21","","21"
"100671","21A","","21А"
"100672","24","","24"
"100673","24/1","","24/1"
"100674","24/2","","24/2"
"100675","25","","25"
"100676","25A","","25А"
"100677","25B","","25Б"
"100678","25V","","25В"
"100679","27","","27"
"100680","27A","","27А"
"100681","27B","","27Б"
"100682","27V","","27В"
"100683","28","","28"
"100684","29","","29"
"100685","29A","","29А"
"100686","39","","39"
"100687","41","","41"
"100688","41/4","","41/4"
"100689","43","","43"
"100690","47","","47"
"100691","48","","48"
"100692","50","","50"
"100693","54","","54"
"100694","54/19","","54/19"
"100695","61","","61"
"100696","63","","63"
"100697","65A","","65А"
"100698","67","","67"
"100699","68","","68"
"100700","69","","69"
"100701","71","","71"
"100702","71A","","71А"
"100703","72","","72"
"100704","72A","","72А"
"100705","73","","73"
"100706","74","","74"
"100707","76","","76"
"100708","77","","77"
"100709","78","","78"
"100710","78G","","78Г"
"100711","79","","79"
"100712","81","","81"
"100713","83","","83"
"100714","85","","85"
"100715","87","","87"
"100716","87A","","87А"
"100717","89","","89"
"100718","89/91","","89/91"
"100719","89A","","89А"
"100720","93","","93"
"100721","97/5","","97/5"
"100722","97A","","97А"
"100723","99/4","","99/4"
"100724","99/4A","","99/4А"
"100725","Avtozavods'kii prov.","","Автозаводський пров."
"100726","5","","5"
"100727","Avtoparkova vul.","","Автопаркова вул."
"100728","7","","7"
"100729","7A","","7А"
"100730","7B","","7Б"
"100731","Avtoremontna vul.","","Авторемонтна вул."
"100732","1","","1"
"100733","Avtotransportna vul.","","Автотранспортна вул."
"100734","1U","","1У"
"100735","4","","4"
"100736","6","","6"
"100737","2/49","","2/49"
"100738","Agitators'ka vul.","","Агітаторська вул."
"100739","4","","4"
"100740","2","","2"
"100741","Agregatna vul.","","Агрегатна вул."
"100742","9","","9"
"100743","11","","11"
"100744","Aerodromna vul.","","Аеродромна вул."
"100745","12","","12"
"100746","12A","","12А"
"100747","13","","13"
"100748","14","","14"
"100749","2","","2"
"100750","Azerbaidzhans'ka vul.","","Азербайджанська вул."
"100751","4","","4"
"100752","6","","6"
"100753","8","","8"
"100754","8A","","8А"
"100755","8B","","8Б"
"100756","16/1","","16/1"
"100757","16/2","","16/2"
"100758","16/3","","16/3"
"100759","16/4","","16/4"
"100760","20","","20"
"100761","23","","23"
"100762","25","","25"
"100763","28","","28"
"100764","28A","","28А"
"100765","28B","","28Б"
"100766","30","","30"
"100767","30A","","30А"
"100768","32","","32"
"100769","1/32","","1/32"
"100770","Azovs'ka vul.","","Азовська вул."
"100771","2/30","","2/30"
"100772","3","","3"
"100773","5","","5"
"100774","6","","6"
"100775","7","","7"
"100776","8","","8"
"100777","9","","9"
"100778","10","","10"
"100779","11","","11"
"100780","12","","12"
"100781","13","","13"
"100782","14","","14"
"100783","16","","16"
"100784","18","","18"
"100785","20","","20"
"100786","22","","22"
"100787","5","","5"
"100788","Aivazovs'kogo prov.","","Айвазовського пров."
"100789","1/18","","1/18"
"100790","Aleksuhina Vasilya vul.","","Алексухіна Василя вул."
"100791","2/22","","2/22"
"100792","3","","3"
"100793","4","","4"
"100794","5","","5"
"100795","6","","6"
"100796","7","","7"
"100797","8","","8"
"100798","9","","9"
"100799","10","","10"
"100800","11","","11"
"100801","12","","12"
"100802","13","","13"
"100803","14/17","","14/17"
"100804","15","","15"
"100805","16","","16"
"100806","17","","17"
"100807","18","","18"
"100808","19","","19"
"100809","20","","20"
"100810","21","","21"
"100811","22","","22"
"100812","23","","23"
"100813","24","","24"
"100814","25","","25"
"100815","27","","27"
"100816","29/24","","29/24"
"100817","31","","31"
"100818","33","","33"
"100819","35","","35"
"100820","35A","","35А"
"100821","37","","37"
"100822","39","","39"
"100823","41/19","","41/19"
"100824","43/30","","43/30"
"100825","45","","45"
"100826","47","","47"
"100827","49","","49"
"100828","51","","51"
"100829","2","","2"
"100830","Alma-Atins'ka vul.","","Алма-Атинська вул."
"100831","2/1","","2/1"
"100832","4","","4"
"100833","4A","","4А"
"100834","6","","6"
"100835","7","","7"
"100836","8","","8"
"100837","9","","9"
"100838","10","","10"
"100839","11","","11"
"100840","12","","12"
"100841","12A","","12А"
"100842","13","","13"
"100843","14","","14"
"100844","14A","","14А"
"100845","17","","17"
"100846","18","","18"
"100847","19","","19"
"100848","20","","20"
"100849","21","","21"
"100850","22","","22"
"100851","22A","","22А"
"100852","23","","23"
"100853","24","","24"
"100854","25","","25"
"100855","26","","26"
"100856","27","","27"
"100857","28","","28"
"100858","29","","29"
"100859","30","","30"
"100860","31","","31"
"100861","32","","32"
"100862","33","","33"
"100863","34","","34"
"100864","35","","35"
"100865","35A","","35А"
"100866","36","","36"
"100867","36A","","36А"
"100868","37","","37"
"100869","38","","38"
"100870","38A","","38А"
"100871","39","","39"
"100872","39A","","39А"
"100873","39B","","39Б"
"100874","39V","","39В"
"100875","39G","","39Г"
"100876","39D","","39Д"
"100877","39E","","39Е"
"100878","40","","40"
"100879","41A","","41А"
"100880","41B","","41Б"
"100881","42","","42"
"100882","43/57","","43/57"
"100883","44","","44"
"100884","46","","46"
"100885","48","","48"
"100886","50","","50"
"100887","52","","52"
"100888","52A","","52А"
"100889","54","","54"
"100890","55","","55"
"100891","55A","","55А"
"100892","56","","56"
"100893","57","","57"
"100894","58","","58"
"100895","59","","59"
"100896","60","","60"
"100897","61","","61"
"100898","61A","","61А"
"100899","62","","62"
"100900","63","","63"
"100901","64","","64"
"100902","65","","65"
"100903","66","","66"
"100904","66A","","66А"
"100905","67","","67"
"100906","68","","68"
"100907","68A","","68А"
"100908","69","","69"
"100909","70","","70"
"100910","71","","71"
"100911","72","","72"
"100912","73","","73"
"100913","74","","74"
"100914","75","","75"
"100915","77","","77"
"100916","79","","79"
"100917","81","","81"
"100918","83","","83"
"100919","85","","85"
"100920","87/1","","87/1"
"100921","89","","89"
"100922","89A","","89А"
"100923","89B","","89Б"
"100924","91","","91"
"100925","93","","93"
"100926","95","","95"
"100927","97/1","","97/1"
"100928","99/2","","99/2"
"100929","101","","101"
"100930","101A","","101А"
"100931","101B","","101Б"
"100932","103/1","","103/1"
"100933","107/2","","107/2"
"100934","109","","109"
"100935","109A","","109А"
"100936","111","","111"
"100937","111A","","111А"
"100938","113","","113"
"100939","115","","115"
"100940","BM1","","БМ1"
"100941","3","","3"
"100942","Alyab'Eva vul.","","Аляб'Єва вул."
"100943","15","","15"
"100944","1","","1"
"100945","Amosova Mikoli vul.","","Амосова Миколи вул."
"100946","2","","2"
"100947","4","","4"
"100948","5","","5"
"100949","6","","6"
"100950","7","","7"
"100951","7A","","7А"
"100952","8","","8"
"100953","9","","9"
"100954","10","","10"
