ID, COORDINATES_ID, GEO_OBJECT_TYPE_ID, I18NAME_ID, PARENT_ID
"13823","13823","100","113927","13801"
"13824","13824","100","113928","13801"
"13825","13825","100","113929","13801"
"13826","13826","100","113930","13801"
"13827","13827","100","113931","13801"
"13828","13828","100","113932","13801"
"13829","13829","100","113933","13801"
"13830","13830","100","113934","13801"
"13831","13831","100","113935","13801"
"13832","13832","100","113936","13801"
"13833","13833","100","113937","13801"
"13834","13834","100","113938","13801"
"13835","13835","100","113939","13801"
"13836","13836","100","113940","13801"
"13837","13837","100","113941","13801"
"13838","13838","100","113942","13801"
"13839","13839","100","113943","13801"
"13840","13840","100","113944","13801"
"13841","13841","100","113945","13801"
"13842","13842","100","113946","13801"
"13843","13843","100","113947","13801"
"13844","13844","100","113948","13801"
"13845","13845","100","113949","13801"
"13846","13846","100","113950","13801"
"13847","13847","100","113951","13801"
"13848","13848","100","113952","13801"
"13849","13849","100","113953","13801"
"13850","13850","100","113954","13801"
"13851","13851","100","113955","13801"
"13852","13852","100","113956","13801"
"13853","13853","100","113957","13801"
"13854","13854","100","113958","13801"
"13855","13855","100","113959","13801"
"13856","13856","100","113960","13801"
"13857","13857","100","113961","13801"
"13858","13858","100","113962","13801"
"13859","13859","100","113963","13801"
"13860","13860","100","113964","13801"
"13861","13861","100","113965","13801"
"13862","13862","100","113966","13801"
"13863","13863","100","113967","13801"
"13864","13864","100","113968","13801"
"13865","13865","100","113969","13801"
"13866","13866","100","113970","13801"
"13867","13867","100","113971","13801"
"13868","13868","100","113972","13801"
"13869","13869","100","113973","13801"
"13870","13870","100","113974","13801"
"13871","13871","100","113975","13801"
"13872","13872","100","113976","13801"
"13873","13873","100","113977","13801"
"13874","13875","101","113979",null
"13875","13874","100","113978","13874"
"13876","13876","100","113980","13874"
"13877","13877","100","113981","13874"
"13878","13878","100","113982","13874"
"13879","13879","100","113983","13874"
"13880","13880","100","113984","13874"
"13881","13881","100","113985","13874"
"13882","13882","100","113986","13874"
"13883","13883","100","113987","13874"
"13884","13884","100","113988","13874"
"13885","13885","100","113989","13874"
"13886","13886","100","113990","13874"
"13887","13887","100","113991","13874"
"13888","13888","100","113992","13874"
"13889","13890","101","113994",null
"13890","13889","100","113993","13889"
"13891","13891","100","113995","13889"
"13892","13892","100","113996","13889"
"13893","13893","100","113997","13889"
"13894","13894","100","113998","13889"
"13895","13895","100","113999","13889"
"13896","13896","100","114000","13889"
"13897","13897","100","114001","13889"
"13898","13898","100","114002","13889"
"13899","13899","100","114003","13889"
"13900","13900","100","114004","13889"
"13901","13901","100","114005","13889"
"13902","13902","100","114006","13889"
"13903","13903","100","114007","13889"
"13904","13904","100","114008","13889"
"13905","13905","100","114009","13889"
"13906","13906","100","114010","13889"
"13907","13908","101","114012",null
"13908","13907","100","114011","13907"
"13909","13909","100","114013","13907"
"13910","13910","100","114014","13907"
"13911","13912","101","114016",null
"13912","13911","100","114015","13911"
